nome_cs,faixa_etaria,pop_faixa
CENTRO DE SAUDE FELICIDADE II,20-24,633
CENTRO DE SAUDE FELICIDADE II,25-29,577
CENTRO DE SAUDE FELICIDADE II,30-39,1213
CENTRO DE SAUDE FELICIDADE II,40-49,1053
CENTRO DE SAUDE FELICIDADE II,50-59,845
CENTRO DE SAUDE FELICIDADE II,60-69,717
CENTRO DE SAUDE FELICIDADE II,70+,409
CENTRO DE SAUDE FLORAMAR,0-4,304
CENTRO DE SAUDE FLORAMAR,5-9,425
CENTRO DE SAUDE FLORAMAR,10-14,409
CENTRO DE SAUDE FLORAMAR,15-19,501
CENTRO DE SAUDE FLORAMAR,20-24,544
CENTRO DE SAUDE FLORAMAR,25-29,547
CENTRO DE SAUDE FLORAMAR,30-39,1176
CENTRO DE SAUDE FLORAMAR,40-49,1356
CENTRO DE SAUDE FLORAMAR,50-59,1166
CENTRO DE SAUDE FLORAMAR,60-69,811
CENTRO DE SAUDE FLORAMAR,70+,803
CENTRO DE SAUDE GENTIL GOMES,0-4,542
CENTRO DE SAUDE GENTIL GOMES,5-9,589
CENTRO DE SAUDE GENTIL GOMES,10-14,604
CENTRO DE SAUDE GENTIL GOMES,15-19,697
CENTRO DE SAUDE GENTIL GOMES,20-24,840
CENTRO DE SAUDE GENTIL GOMES,25-29,884
CENTRO DE SAUDE GENTIL GOMES,30-39,1839
CENTRO DE SAUDE GENTIL GOMES,40-49,1850
CENTRO DE SAUDE GENTIL GOMES,50-59,1862
CENTRO DE SAUDE GENTIL GOMES,60-69,1749
CENTRO DE SAUDE GENTIL GOMES,70+,1365
CENTRO DE SAUDE GLORIA,0-4,297
CENTRO DE SAUDE GLORIA,5-9,428
